CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Survey Date,Survey Type,Deficiency Prefix,Deficiency Category,Deficiency Tag Number,Deficiency Description,Scope Severity Code,Deficiency Corrected,Correction Date,Inspection Cycle,Standard Deficiency,Complaint Deficiency,Infection Control Inspection Deficiency,Citation under IDR,Citation under IIDR,Location,Processing Date,days_since_survey,severity_priority,Inspection Report
195546,BAYOU CHATEAU NURSING CTR,16232 HWY. 1,SIMMESPORT,LA,71369,2026-01-07,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has plan of correction",2026-02-21,1,N,Y,N,N,N,"16232 HWY. 1,SIMMESPORT,LA,71369",2026-03-01,89,Minor,https://www.medicare.gov/care-compare/details/nursing-home/195546
195611,HAMMOND NURSING HOME,501 OLD COVINGTON HIGHWAY,HAMMOND,LA,70403,2026-01-07,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2026-02-06,1,Y,N,N,N,N,"501 OLD COVINGTON HIGHWAY,HAMMOND,LA,70403",2026-03-01,89,Minor,https://www.medicare.gov/care-compare/details/nursing-home/195611
215145,COMPLETE CARE AT HYATTSVILLE,4922 LASALLE ROAD,HYATTSVILLE,MD,20782,2026-01-09,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2026-02-10,1,N,Y,N,N,N,"4922 LASALLE ROAD,HYATTSVILLE,MD,20782",2026-03-01,87,Minor,https://www.medicare.gov/care-compare/details/nursing-home/215145
215273,WALDORF  CENTER,4140 OLD WASHINGTON HIGHWAY,WALDORF,MD,20602,2026-01-23,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has no plan of correction",,1,N,Y,N,N,N,"4140 OLD WASHINGTON HIGHWAY,WALDORF,MD,20602",2026-03-01,73,Serious,https://www.medicare.gov/care-compare/details/nursing-home/215273
225634,CARE ONE AT WEYMOUTH,64 PERFORMANCE DRIVE,WEYMOUTH,MA,02189,2026-01-13,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",2026-02-13,1,Y,N,N,N,N,"64 PERFORMANCE DRIVE,WEYMOUTH,MA,02189",2026-03-01,83,Serious,https://www.medicare.gov/care-compare/details/nursing-home/225634
235016,Regency at Jackson,434 W North Street,Jackson,MI,49202,2026-01-13,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2026-02-13,1,N,Y,N,N,N,"434 W North Street,Jackson,MI,49202",2026-03-01,83,Minor,https://www.medicare.gov/care-compare/details/nursing-home/235016
235023,Majestic Care of Battle Creek,200 E Roosevelt,Battle Creek,MI,49037,2026-01-16,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has plan of correction",2026-02-20,1,N,Y,N,N,N,"200 E Roosevelt,Battle Creek,MI,49037",2026-03-01,80,Minor,https://www.medicare.gov/care-compare/details/nursing-home/235023
235217,Optalis Health & Rehabilitation of Bloomfield Hill,2975 N Adams Road,Bloomfield Hills,MI,48304,2026-01-14,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has plan of correction",2026-02-12,1,N,Y,N,N,N,"2975 N Adams Road,Bloomfield Hills,MI,48304",2026-03-01,82,Serious,https://www.medicare.gov/care-compare/details/nursing-home/235217
235217,Optalis Health & Rehabilitation of Bloomfield Hill,2975 N Adams Road,Bloomfield Hills,MI,48304,2026-01-14,Health,F,Infection Control Deficiencies,0881,Implement a program that monitors antibiotic use.,E,"Deficient, Provider has plan of correction",2026-02-12,1,N,Y,N,N,N,"2975 N Adams Road,Bloomfield Hills,MI,48304",2026-03-01,82,Serious,https://www.medicare.gov/care-compare/details/nursing-home/235217
235249,Optalis Health and Rehabilitation at St. Francis,915 North River Road,Saginaw,MI,48609,2026-01-21,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2026-01-30,1,N,Y,N,N,N,"915 North River Road,Saginaw,MI,48609",2026-03-01,75,Minor,https://www.medicare.gov/care-compare/details/nursing-home/235249
235293,Medilodge of Farmington,34225 Grand River Ave,Farmington,MI,48335,2026-01-28,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has plan of correction",2026-02-13,1,N,Y,N,N,N,"34225 Grand River Ave,Farmington,MI,48335",2026-03-01,68,Serious,https://www.medicare.gov/care-compare/details/nursing-home/235293
235299,The Laurels of Bedford,270 N Bedford Road,Battle Creek,MI,49017,2026-01-28,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has plan of correction",2026-02-24,1,N,Y,N,N,N,"270 N Bedford Road,Battle Creek,MI,49017",2026-03-01,68,Serious,https://www.medicare.gov/care-compare/details/nursing-home/235299
235330,Medilodge of Livingston,3003 W Grand River,Howell,MI,48843,2026-01-07,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",2026-01-19,1,Y,Y,N,N,N,"3003 W Grand River,Howell,MI,48843",2026-03-01,89,Serious,https://www.medicare.gov/care-compare/details/nursing-home/235330
235410,Medilodge of Munising,300 West City Park Drive,Munising,MI,49862,2026-01-07,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",2026-02-04,1,Y,N,N,N,N,"300 West City Park Drive,Munising,MI,49862",2026-03-01,89,Serious,https://www.medicare.gov/care-compare/details/nursing-home/235410
235727,The Oaks at Belmont,6081 W River Drive,Belmont,MI,49306,2026-01-08,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2026-01-21,1,Y,N,N,N,N,"6081 W River Drive,Belmont,MI,49306",2026-03-01,88,Minor,https://www.medicare.gov/care-compare/details/nursing-home/235727
245063,ST ANTHONY PARK HOME INC,2237 COMMONWEALTH AVENUE,SAINT PAUL,MN,55108,2026-01-14,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",2026-02-06,1,N,Y,N,N,N,"2237 COMMONWEALTH AVENUE,SAINT PAUL,MN,55108",2026-03-01,82,Serious,https://www.medicare.gov/care-compare/details/nursing-home/245063
245102,Sauer Health Care,1635 WEST SERVICE DRIVE,WINONA,MN,55987,2026-01-07,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has no plan of correction",,1,Y,N,N,N,N,"1635 WEST SERVICE DRIVE,WINONA,MN,55987",2026-03-01,89,Minor,https://www.medicare.gov/care-compare/details/nursing-home/245102
245207,Good Samaritan Society - Stillwater,1119 OWENS STREET NORTH,STILLWATER,MN,55082,2026-02-12,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has no plan of correction",,1,Y,N,N,N,N,"1119 OWENS STREET NORTH,STILLWATER,MN,55082",2026-03-01,53,Minor,https://www.medicare.gov/care-compare/details/nursing-home/245207
245283,The Waterview Pines LLC,1201 8TH STREET SOUTH,VIRGINIA,MN,55792,2026-01-15,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2026-02-13,1,Y,N,N,N,N,"1201 8TH STREET SOUTH,VIRGINIA,MN,55792",2026-03-01,81,Minor,https://www.medicare.gov/care-compare/details/nursing-home/245283
245318,Good Samaritan Society - International Falls,2201 KEENAN DRIVE,INTERNATIONAL FALLS,MN,56649,2026-01-14,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2026-02-10,1,Y,N,N,N,N,"2201 KEENAN DRIVE,INTERNATIONAL FALLS,MN,56649",2026-03-01,82,Minor,https://www.medicare.gov/care-compare/details/nursing-home/245318
245337,The Estates at Linden LLC,105 WEST LINDEN STREET,STILLWATER,MN,55082,2026-01-08,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2026-01-30,1,Y,N,N,N,N,"105 WEST LINDEN STREET,STILLWATER,MN,55082",2026-03-01,88,Minor,https://www.medicare.gov/care-compare/details/nursing-home/245337
245343,Minnesota Masonic Home Care Center,11501 MASONIC HOME DRIVE,BLOOMINGTON,MN,55437,2026-02-12,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has no plan of correction",,1,Y,N,N,N,N,"11501 MASONIC HOME DRIVE,BLOOMINGTON,MN,55437",2026-03-01,53,Minor,https://www.medicare.gov/care-compare/details/nursing-home/245343
245344,Fairview Care Center,702 10TH AVENUE NORTHWEST,DODGE CENTER,MN,55927,2026-01-14,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has no plan of correction",,1,Y,N,N,N,N,"702 10TH AVENUE NORTHWEST,DODGE CENTER,MN,55927",2026-03-01,82,Minor,https://www.medicare.gov/care-compare/details/nursing-home/245344
245348,The Estates at Rush City LLC,650 BREMER AVENUE SOUTH,RUSH CITY,MN,55069,2026-01-29,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has no plan of correction",,1,Y,N,N,N,N,"650 BREMER AVENUE SOUTH,RUSH CITY,MN,55069",2026-03-01,67,Serious,https://www.medicare.gov/care-compare/details/nursing-home/245348
245400,WABASSO RESTORATIVE CARE CENTER,660 MAPLE STREET,WABASSO,MN,56293,2026-01-14,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has plan of correction",2026-03-27,1,Y,N,N,N,N,"660 MAPLE STREET,WABASSO,MN,56293",2026-03-01,82,Serious,https://www.medicare.gov/care-compare/details/nursing-home/245400
245409,EDENBROOK OF ROCHESTER,1875 19TH STREET NORTHWEST,ROCHESTER,MN,55901,2026-02-12,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has no plan of correction",,1,Y,N,N,N,N,"1875 19TH STREET NORTHWEST,ROCHESTER,MN,55901",2026-03-01,53,Minor,https://www.medicare.gov/care-compare/details/nursing-home/245409
245425,Thorne Crest Retirement Center,1201 GARFIELD AVENUE,ALBERT LEA,MN,56007,2026-01-27,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has no plan of correction",,1,Y,N,N,N,N,"1201 GARFIELD AVENUE,ALBERT LEA,MN,56007",2026-03-01,69,Serious,https://www.medicare.gov/care-compare/details/nursing-home/245425
245425,Thorne Crest Retirement Center,1201 GARFIELD AVENUE,ALBERT LEA,MN,56007,2026-01-27,Health,F,Infection Control Deficiencies,0881,Implement a program that monitors antibiotic use.,F,"Deficient, Provider has no plan of correction",,1,Y,N,N,N,N,"1201 GARFIELD AVENUE,ALBERT LEA,MN,56007",2026-03-01,69,Serious,https://www.medicare.gov/care-compare/details/nursing-home/245425
245460,Jones Harrison Residence,3700 CEDAR LAKE AVENUE,MINNEAPOLIS,MN,55416,2026-01-09,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has plan of correction",2026-02-28,1,Y,N,N,N,N,"3700 CEDAR LAKE AVENUE,MINNEAPOLIS,MN,55416",2026-03-01,87,Minor,https://www.medicare.gov/care-compare/details/nursing-home/245460
245489,EMMANUEL NURSING HOME,1415 MADISON AVENUE,DETROIT LAKES,MN,56501,2026-02-11,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2026-02-23,1,Y,N,N,N,N,"1415 MADISON AVENUE,DETROIT LAKES,MN,56501",2026-03-01,54,Minor,https://www.medicare.gov/care-compare/details/nursing-home/245489
245511,Cura of Monticello,1104 EAST RIVER STREET,MONTICELLO,MN,55362,2026-01-15,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has plan of correction",2026-02-28,1,Y,N,N,N,N,"1104 EAST RIVER STREET,MONTICELLO,MN,55362",2026-03-01,81,Minor,https://www.medicare.gov/care-compare/details/nursing-home/245511
245513,"LAKE RIDGE CARE CENTER OF BUFFALO, INC.",310 LAKE BOULEVARD,BUFFALO,MN,55313,2026-01-08,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has plan of correction",2026-02-20,1,Y,N,N,N,N,"310 LAKE BOULEVARD,BUFFALO,MN,55313",2026-03-01,88,Serious,https://www.medicare.gov/care-compare/details/nursing-home/245513
245544,Victory Health & Rehabilitation Center,512 49TH AVENUE NORTH,MINNEAPOLIS,MN,55430,2026-01-15,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",2026-02-20,1,Y,N,N,N,N,"512 49TH AVENUE NORTH,MINNEAPOLIS,MN,55430",2026-03-01,81,Serious,https://www.medicare.gov/care-compare/details/nursing-home/245544
245558,Good Samaritan Society - Windom,705 SIXTH STREET,WINDOM,MN,56101,2026-01-27,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has no plan of correction",,1,N,Y,N,N,N,"705 SIXTH STREET,WINDOM,MN,56101",2026-03-01,69,Minor,https://www.medicare.gov/care-compare/details/nursing-home/245558
245558,Good Samaritan Society - Windom,705 SIXTH STREET,WINDOM,MN,56101,2026-02-12,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has no plan of correction",,1,Y,N,N,N,N,"705 SIXTH STREET,WINDOM,MN,56101",2026-03-01,53,Serious,https://www.medicare.gov/care-compare/details/nursing-home/245558
245572,Colonial Manor Nursing Home,403 COLONIAL AVENUE,LAKEFIELD,MN,56150,2026-01-29,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has no plan of correction",,1,Y,N,N,N,N,"403 COLONIAL AVENUE,LAKEFIELD,MN,56150",2026-03-01,67,Serious,https://www.medicare.gov/care-compare/details/nursing-home/245572
245572,Colonial Manor Nursing Home,403 COLONIAL AVENUE,LAKEFIELD,MN,56150,2026-01-29,Health,F,Infection Control Deficiencies,0881,Implement a program that monitors antibiotic use.,E,"Deficient, Provider has no plan of correction",,1,Y,N,N,N,N,"403 COLONIAL AVENUE,LAKEFIELD,MN,56150",2026-03-01,67,Serious,https://www.medicare.gov/care-compare/details/nursing-home/245572
245589,BUFFALO LAKE HEALTH CARE CENTER,703 WEST YELLOWSTONE TRAIL,BUFFALO LAKE,MN,55314,2026-01-08,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has plan of correction",2026-03-05,1,Y,N,N,N,N,"703 WEST YELLOWSTONE TRAIL,BUFFALO LAKE,MN,55314",2026-03-01,88,Serious,https://www.medicare.gov/care-compare/details/nursing-home/245589
245589,BUFFALO LAKE HEALTH CARE CENTER,703 WEST YELLOWSTONE TRAIL,BUFFALO LAKE,MN,55314,2026-01-08,Health,F,Infection Control Deficiencies,0881,Implement a program that monitors antibiotic use.,D,"Deficient, Provider has plan of correction",2026-03-05,1,Y,N,N,N,N,"703 WEST YELLOWSTONE TRAIL,BUFFALO LAKE,MN,55314",2026-03-01,88,Minor,https://www.medicare.gov/care-compare/details/nursing-home/245589
255100,DIVERSICARE OF TYLERTOWN,200 MEDICAL CIRCLE,TYLERTOWN,MS,39667,2026-01-14,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2026-02-20,1,Y,N,N,N,N,"200 MEDICAL CIRCLE,TYLERTOWN,MS,39667",2026-03-01,82,Minor,https://www.medicare.gov/care-compare/details/nursing-home/255100
255105,DIVERSICARE OF TUPELO,2273 SOUTH EASON BOULEVARD,TUPELO,MS,38804,2026-01-14,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2026-02-13,1,Y,N,N,N,N,"2273 SOUTH EASON BOULEVARD,TUPELO,MS,38804",2026-03-01,82,Minor,https://www.medicare.gov/care-compare/details/nursing-home/255105
255175,DIVERSICARE OF BROOKHAVEN,519 BROOKMAN DRIVE,BROOKHAVEN,MS,39601,2026-01-08,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2026-02-09,1,Y,N,N,N,N,"519 BROOKMAN DRIVE,BROOKHAVEN,MS,39601",2026-03-01,88,Minor,https://www.medicare.gov/care-compare/details/nursing-home/255175
255294,GREENBOUGH HEALTH AND REHABILITATION CENTER,340 DESOTO AVE EXTENDED,CLARKSDALE,MS,38614,2026-01-08,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2026-02-10,1,Y,N,N,N,N,"340 DESOTO AVE EXTENDED,CLARKSDALE,MS,38614",2026-03-01,88,Minor,https://www.medicare.gov/care-compare/details/nursing-home/255294
265120,ST SOPHIA HEALTH & REHABILITATION CENTER,936 CHARBONIER ROAD,FLORISSANT,MO,63031,2026-01-22,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2026-01-23,1,N,Y,N,N,N,"936 CHARBONIER ROAD,FLORISSANT,MO,63031",2026-03-01,74,Minor,https://www.medicare.gov/care-compare/details/nursing-home/265120
265302,PARKSIDE MANOR,1201 HUNT AVENUE,COLUMBIA,MO,65202,2026-01-15,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has no plan of correction",,1,N,Y,N,N,N,"1201 HUNT AVENUE,COLUMBIA,MO,65202",2026-03-01,81,Serious,https://www.medicare.gov/care-compare/details/nursing-home/265302
265586,ATRIUM PLACE HEALTH AND REHABILITATION,2600 REDMAN ROAD,SAINT LOUIS,MO,63136,2026-01-08,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",2026-02-10,1,N,Y,N,N,N,"2600 REDMAN ROAD,SAINT LOUIS,MO,63136",2026-03-01,88,Serious,https://www.medicare.gov/care-compare/details/nursing-home/265586
265833,"GROVE AT KIRKWOOD, THE",711 SOUTH KIRKWOOD ROAD,KIRKWOOD,MO,63122,2026-01-29,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has no plan of correction",,1,N,Y,N,N,N,"711 SOUTH KIRKWOOD ROAD,KIRKWOOD,MO,63122",2026-03-01,67,Serious,https://www.medicare.gov/care-compare/details/nursing-home/265833
265833,"GROVE AT KIRKWOOD, THE",711 SOUTH KIRKWOOD ROAD,KIRKWOOD,MO,63122,2026-01-29,Health,F,Infection Control Deficiencies,0881,Implement a program that monitors antibiotic use.,F,"Deficient, Provider has no plan of correction",,1,N,Y,N,N,N,"711 SOUTH KIRKWOOD ROAD,KIRKWOOD,MO,63122",2026-03-01,67,Serious,https://www.medicare.gov/care-compare/details/nursing-home/265833
26E256,JOHNSON COUNTY CARE CENTER,122 EAST MARKET STREET,WARRENSBURG,MO,64093,2026-01-29,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has no plan of correction",,1,N,Y,N,N,N,"122 EAST MARKET STREET,WARRENSBURG,MO,64093",2026-03-01,67,Serious,https://www.medicare.gov/care-compare/details/nursing-home/26E256
285082,"Continental Springs, LLC",3200 G Street,South Sioux City,NE,68776,2026-01-14,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has no plan of correction",,1,Y,N,N,N,N,"3200 G Street,South Sioux City,NE,68776",2026-03-01,82,Serious,https://www.medicare.gov/care-compare/details/nursing-home/285082
305044,GOLDEN VIEW HEALTH CARE CENTER,19 NH ROUTE 104,MEREDITH,NH,03253,2026-01-14,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",2026-02-08,1,Y,N,N,N,N,"19 NH ROUTE 104,MEREDITH,NH,03253",2026-03-01,82,Serious,https://www.medicare.gov/care-compare/details/nursing-home/305044
305045,PLEASANT VIEW CENTER,239 PLEASANT STREET,CONCORD,NH,03301,2026-01-12,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2026-02-04,1,Y,N,N,N,N,"239 PLEASANT STREET,CONCORD,NH,03301",2026-03-01,84,Minor,https://www.medicare.gov/care-compare/details/nursing-home/305045
345180,Wesley Pines Retirement Community,1000 Wesley Pines Road,Lumberton,NC,28358,2026-01-30,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has plan of correction",2026-02-26,1,Y,N,N,N,N,"1000 Wesley Pines Road,Lumberton,NC,28358",2026-03-01,66,Minor,https://www.medicare.gov/care-compare/details/nursing-home/345180
345229,Peak Resources- Shelby,1101 North Morgan Street,Shelby,NC,28150,2026-02-11,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has no plan of correction",,1,Y,N,N,N,N,"1101 North Morgan Street,Shelby,NC,28150",2026-03-01,54,Minor,https://www.medicare.gov/care-compare/details/nursing-home/345229
345247,Valley Nursing and Rehabilitation Center,581 NC Highway 16 South,Taylorsville,NC,28681,2026-01-08,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2026-01-15,1,Y,N,N,N,N,"581 NC Highway 16 South,Taylorsville,NC,28681",2026-03-01,88,Minor,https://www.medicare.gov/care-compare/details/nursing-home/345247
345250,The Greens at Lincolnton,515 S Generals Boulevard,Lincolnton,NC,28093,2026-02-12,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has no plan of correction",,1,Y,N,N,N,N,"515 S Generals Boulevard,Lincolnton,NC,28093",2026-03-01,53,Serious,https://www.medicare.gov/care-compare/details/nursing-home/345250
345296,Margate Health and Rehab Center,540 Waugh Street,Jefferson,NC,28640,2026-02-13,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has no plan of correction",,1,Y,N,N,N,N,"540 Waugh Street,Jefferson,NC,28640",2026-03-01,52,Minor,https://www.medicare.gov/care-compare/details/nursing-home/345296
345298,The Laurels of Pender,311 S Campbell Street,Burgaw,NC,28425,2026-01-15,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2026-02-06,1,Y,N,N,N,N,"311 S Campbell Street,Burgaw,NC,28425",2026-03-01,81,Minor,https://www.medicare.gov/care-compare/details/nursing-home/345298
345339,Windsor Rehabilitation and Healthcare Center,1306 South King Street,Windsor,NC,27983,2026-01-13,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",2026-02-04,1,Y,Y,N,N,N,"1306 South King Street,Windsor,NC,27983",2026-03-01,83,Serious,https://www.medicare.gov/care-compare/details/nursing-home/345339
345405,Charlotte Health & Rehabilitation Center,1735 Toddville Road,Charlotte,NC,28214,2026-01-28,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has no plan of correction",,1,Y,N,N,N,N,"1735 Toddville Road,Charlotte,NC,28214",2026-03-01,68,Minor,https://www.medicare.gov/care-compare/details/nursing-home/345405
345528,River Landing at Sandy Ridge,1575 John Knox Drive,Colfax,NC,27235,2026-01-08,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2026-02-02,1,Y,N,N,N,N,"1575 John Knox Drive,Colfax,NC,27235",2026-03-01,88,Minor,https://www.medicare.gov/care-compare/details/nursing-home/345528
355033,ST CATHERINES LIVING CENTER,1307 N 7TH ST,WAHPETON,ND,58075,2026-01-28,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has no plan of correction",,1,N,Y,N,N,N,"1307 N 7TH ST,WAHPETON,ND,58075",2026-03-01,68,Minor,https://www.medicare.gov/care-compare/details/nursing-home/355033
355095,GOOD SAMARITAN SOCIETY - OAKES,213 N 9TH ST,OAKES,ND,58474,2026-01-07,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2026-01-26,1,Y,N,N,N,N,"213 N 9TH ST,OAKES,ND,58474",2026-03-01,89,Minor,https://www.medicare.gov/care-compare/details/nursing-home/355095
365264,O'NEILL HEALTHCARE BAY VILLAGE,605 BRADLEY RD,BAY VILLAGE,OH,44140,2026-01-21,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2026-02-10,1,N,Y,N,N,N,"605 BRADLEY RD,BAY VILLAGE,OH,44140",2026-03-01,75,Minor,https://www.medicare.gov/care-compare/details/nursing-home/365264
365392,ROCKY RIVER GARDENS REHAB AND NURSING CTR,4102 ROCKY RIVER DR,CLEVELAND,OH,44135,2026-01-14,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",2026-01-16,1,N,Y,N,N,N,"4102 ROCKY RIVER DR,CLEVELAND,OH,44135",2026-03-01,82,Serious,https://www.medicare.gov/care-compare/details/nursing-home/365392
365541,HERITAGE THE,2820 GREENACRE DR,FINDLAY,OH,45840,2026-01-07,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2026-01-13,1,N,Y,N,N,N,"2820 GREENACRE DR,FINDLAY,OH,45840",2026-03-01,89,Minor,https://www.medicare.gov/care-compare/details/nursing-home/365541
365632,MAJORA LANE CTR FOR REHAB & NSG CARE INC,105 MAJORA LANE,MILLERSBURG,OH,44654,2026-01-08,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2026-02-03,1,N,Y,N,N,N,"105 MAJORA LANE,MILLERSBURG,OH,44654",2026-03-01,88,Minor,https://www.medicare.gov/care-compare/details/nursing-home/365632
365644,EMBASSY OF WINCHESTER,36 LEHMAN DR,CANAL WINCHESTER,OH,43110,2026-01-27,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has no plan of correction",,1,N,Y,N,N,N,"36 LEHMAN DR,CANAL WINCHESTER,OH,43110",2026-03-01,69,Minor,https://www.medicare.gov/care-compare/details/nursing-home/365644
365696,CONTINUING HEALTHCARE AT FOREST HILL,100 RESERVOIR ROAD,ST CLAIRSVILLE,OH,43950,2026-01-15,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has plan of correction",2026-02-10,1,N,Y,N,N,N,"100 RESERVOIR ROAD,ST CLAIRSVILLE,OH,43950",2026-03-01,81,Serious,https://www.medicare.gov/care-compare/details/nursing-home/365696
365717,THE CONVALARIUM OF DUBLIN,6430 POST RD,DUBLIN,OH,43016,2026-01-15,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has plan of correction",2026-02-20,1,N,Y,N,N,N,"6430 POST RD,DUBLIN,OH,43016",2026-03-01,81,Serious,https://www.medicare.gov/care-compare/details/nursing-home/365717
